Value,Correlation,Variable,Reference,Comparison
"Transportation, Communications, Utilities",0.6754,INDSTRY,obesity,bipolar
Retail Trade,0.4831,INDSTRY,obesity,bipolar
"Finance, Insurance, Real Estate",0.8069,INDSTRY,obesity,bipolar
Services,0.7392,INDSTRY,obesity,bipolar
Construction,0.2153,INDSTRY,obesity,bipolar
"Agriculture, Forestry, Fishing",NA,INDSTRY,obesity,bipolar
Wholesale,0.4607,INDSTRY,obesity,bipolar
Salary Non-union,0.3595,EECLASS,obesity,bipolar
Salary Union,0.5548,EECLASS,obesity,bipolar
Salary Other,0.5044,EECLASS,obesity,bipolar
Hourly Non-union,0.6379,EECLASS,obesity,bipolar
Hourly Union,0.6188,EECLASS,obesity,bipolar
Hourly Other,0.5471,EECLASS,obesity,bipolar
Non-union,0.5049,EECLASS,obesity,bipolar
Union,0.5568,EECLASS,obesity,bipolar
Unknown,0.5842,EECLASS,obesity,bipolar
Active Full Time,-0.0412,EESTATU,obesity,bipolar
Active Part Time or Seasonal,0.2733,EESTATU,obesity,bipolar
Early Retiree,0.5719,EESTATU,obesity,bipolar
Medicare Eligible Retiree,0.6157,EESTATU,obesity,bipolar
Retiree (status unknown),0.5356,EESTATU,obesity,bipolar
COBRA Continuee,0.4674,EESTATU,obesity,bipolar
Surviving Spouse/Depend.,0.6312,EESTATU,obesity,bipolar
Other/Unknown,0.4711,EESTATU,obesity,bipolar
Long Term Disability,0.3291,EESTATU,obesity,bipolar
"Oil & Gas Extraction, Mining",0.6241,INDSTRY,obesity,diabetes
"Manufacturing, Durable Goods",0.8239,INDSTRY,obesity,diabetes
"Manufacturing, Nondurable Goods",0.8439,INDSTRY,obesity,diabetes
"Transportation, Communications, Utilities",0.8307,INDSTRY,obesity,diabetes
Retail Trade,0.71,INDSTRY,obesity,diabetes
"Finance, Insurance, Real Estate",0.7843,INDSTRY,obesity,diabetes
Services,0.8695,INDSTRY,obesity,diabetes
Construction,0.5855,INDSTRY,obesity,diabetes
"Agriculture, Forestry, Fishing",0.7141,INDSTRY,obesity,diabetes
Wholesale,0.3921,INDSTRY,obesity,diabetes
Salary Non-union,0.7261,EECLASS,obesity,diabetes
Salary Union,0.6087,EECLASS,obesity,diabetes
Salary Other,0.8852,EECLASS,obesity,diabetes
Hourly Non-union,0.7174,EECLASS,obesity,diabetes
Hourly Union,0.7767,EECLASS,obesity,diabetes
Hourly Other,0.7308,EECLASS,obesity,diabetes
Non-union,0.6976,EECLASS,obesity,diabetes
Union,0.7384,EECLASS,obesity,diabetes
Unknown,0.8009,EECLASS,obesity,diabetes
Active Full Time,0.3821,EESTATU,obesity,diabetes
Active Part Time or Seasonal,0.3477,EESTATU,obesity,diabetes
Early Retiree,0.828,EESTATU,obesity,diabetes
Medicare Eligible Retiree,0.8458,EESTATU,obesity,diabetes
Retiree (status unknown),0.6299,EESTATU,obesity,diabetes
COBRA Continuee,0.2543,EESTATU,obesity,diabetes
Surviving Spouse/Depend.,0.6442,EESTATU,obesity,diabetes
Other/Unknown,0.7177,EESTATU,obesity,diabetes
Long Term Disability,0.4522,EESTATU,obesity,diabetes
"Oil & Gas Extraction, Mining",0.5886,INDSTRY,obesity,drug_dependence
"Manufacturing, Durable Goods",0.7802,INDSTRY,obesity,drug_dependence
"Manufacturing, Nondurable Goods",0.7686,INDSTRY,obesity,drug_dependence
"Transportation, Communications, Utilities",0.6825,INDSTRY,obesity,drug_dependence
Retail Trade,0.6761,INDSTRY,obesity,drug_dependence
"Finance, Insurance, Real Estate",0.634,INDSTRY,obesity,drug_dependence
Services,0.8327,INDSTRY,obesity,drug_dependence
Construction,0.5743,INDSTRY,obesity,drug_dependence
"Agriculture, Forestry, Fishing",0.7141,INDSTRY,obesity,drug_dependence
Wholesale,0.4962,INDSTRY,obesity,drug_dependence
Salary Non-union,0.6383,EECLASS,obesity,drug_dependence
Salary Union,0.5042,EECLASS,obesity,drug_dependence
Salary Other,0.7295,EECLASS,obesity,drug_dependence
Hourly Non-union,0.6657,EECLASS,obesity,drug_dependence
Hourly Union,0.8233,EECLASS,obesity,drug_dependence
Hourly Other,0.6216,EECLASS,obesity,drug_dependence
Non-union,0.6361,EECLASS,obesity,drug_dependence
Union,0.6375,EECLASS,obesity,drug_dependence
Unknown,0.8042,EECLASS,obesity,drug_dependence
Active Full Time,0.2473,EESTATU,obesity,drug_dependence
Active Part Time or Seasonal,0.5501,EESTATU,obesity,drug_dependence
Early Retiree,0.8389,EESTATU,obesity,drug_dependence
Medicare Eligible Retiree,0.5187,EESTATU,obesity,drug_dependence
Retiree (status unknown),0.4645,EESTATU,obesity,drug_dependence
COBRA Continuee,0.4257,EESTATU,obesity,drug_dependence
Surviving Spouse/Depend.,0.6353,EESTATU,obesity,drug_dependence
Other/Unknown,0.4949,EESTATU,obesity,drug_dependence
Long Term Disability,0.4047,EESTATU,obesity,drug_dependence
"Oil & Gas Extraction, Mining",0.5778,INDSTRY,obesity,hypertension
"Manufacturing, Durable Goods",0.8372,INDSTRY,obesity,hypertension
"Manufacturing, Nondurable Goods",0.877,INDSTRY,obesity,hypertension
"Transportation, Communications, Utilities",0.7613,INDSTRY,obesity,hypertension
Retail Trade,0.7471,INDSTRY,obesity,hypertension
"Finance, Insurance, Real Estate",0.7664,INDSTRY,obesity,hypertension
Services,0.8688,INDSTRY,obesity,hypertension
Construction,0.6984,INDSTRY,obesity,hypertension
"Agriculture, Forestry, Fishing",1,INDSTRY,obesity,hypertension
Wholesale,0.5968,INDSTRY,obesity,hypertension
Salary Non-union,0.6129,EECLASS,obesity,hypertension
Salary Union,0.558,EECLASS,obesity,hypertension
Salary Other,0.7998,EECLASS,obesity,hypertension
Hourly Non-union,0.7814,EECLASS,obesity,hypertension
Hourly Union,0.8099,EECLASS,obesity,hypertension
Hourly Other,0.6873,EECLASS,obesity,hypertension
Non-union,0.775,EECLASS,obesity,hypertension
Union,0.7438,EECLASS,obesity,hypertension
Unknown,0.79,EECLASS,obesity,hypertension
Active Full Time,0.2487,EESTATU,obesity,hypertension
Active Part Time or Seasonal,0.5449,EESTATU,obesity,hypertension
Early Retiree,0.8449,EESTATU,obesity,hypertension
Medicare Eligible Retiree,0.8015,EESTATU,obesity,hypertension
Retiree (status unknown),0.6201,EESTATU,obesity,hypertension
COBRA Continuee,0.5332,EESTATU,obesity,hypertension
Surviving Spouse/Depend.,0.8215,EESTATU,obesity,hypertension
Other/Unknown,0.5722,EESTATU,obesity,hypertension
Long Term Disability,0.4057,EESTATU,obesity,hypertension
"Oil & Gas Extraction, Mining",0.6747,INDSTRY,obesity,lipid_metabolism
"Manufacturing, Durable Goods",0.8641,INDSTRY,obesity,lipid_metabolism
"Manufacturing, Nondurable Goods",0.8098,INDSTRY,obesity,lipid_metabolism
"Transportation, Communications, Utilities",0.6492,INDSTRY,obesity,lipid_metabolism
Retail Trade,0.6592,INDSTRY,obesity,lipid_metabolism
"Finance, Insurance, Real Estate",0.6938,INDSTRY,obesity,lipid_metabolism
Services,0.8279,INDSTRY,obesity,lipid_metabolism
Construction,0.7488,INDSTRY,obesity,lipid_metabolism
"Agriculture, Forestry, Fishing",1,INDSTRY,obesity,lipid_metabolism
Wholesale,0.3449,INDSTRY,obesity,lipid_metabolism
Salary Non-union,0.7984,EECLASS,obesity,lipid_metabolism
Salary Union,0.6696,EECLASS,obesity,lipid_metabolism
Salary Other,0.8,EECLASS,obesity,lipid_metabolism
Hourly Non-union,0.6476,EECLASS,obesity,lipid_metabolism
Hourly Union,0.782,EECLASS,obesity,lipid_metabolism
Hourly Other,0.6153,EECLASS,obesity,lipid_metabolism
Non-union,0.7346,EECLASS,obesity,lipid_metabolism
Union,0.61240000000000006,EECLASS,obesity,lipid_metabolism
Unknown,0.7918,EECLASS,obesity,lipid_metabolism
Active Full Time,0.4178,EESTATU,obesity,lipid_metabolism
Active Part Time or Seasonal,0.3676,EESTATU,obesity,lipid_metabolism
Early Retiree,0.8628,EESTATU,obesity,lipid_metabolism
Medicare Eligible Retiree,0.8102,EESTATU,obesity,lipid_metabolism
Retiree (status unknown),0.489,EESTATU,obesity,lipid_metabolism
COBRA Continuee,0.3801,EESTATU,obesity,lipid_metabolism
Surviving Spouse/Depend.,0.7696,EESTATU,obesity,lipid_metabolism
Other/Unknown,0.4926,EESTATU,obesity,lipid_metabolism
Long Term Disability,0.259,EESTATU,obesity,lipid_metabolism
"Oil & Gas Extraction, Mining",0.4343,INDSTRY,obesity,schizophrenia
"Manufacturing, Durable Goods",0.6364,INDSTRY,obesity,schizophrenia
"Manufacturing, Nondurable Goods",0.3357,INDSTRY,obesity,schizophrenia
"Transportation, Communications, Utilities",0.6261,INDSTRY,obesity,schizophrenia
Retail Trade,0.1853,INDSTRY,obesity,schizophrenia
"Finance, Insurance, Real Estate",0.5482,INDSTRY,obesity,schizophrenia
Services,0.3556,INDSTRY,obesity,schizophrenia
Construction,0.3923,INDSTRY,obesity,schizophrenia
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,obesity,schizophrenia
Wholesale,0.0661,INDSTRY,obesity,schizophrenia
Salary Non-union,0.2473,EECLASS,obesity,schizophrenia
Salary Union,0.4975,EECLASS,obesity,schizophrenia
Salary Other,0.3825,EECLASS,obesity,schizophrenia
Hourly Non-union,0.2657,EECLASS,obesity,schizophrenia
Hourly Union,0.4983,EECLASS,obesity,schizophrenia
Hourly Other,0.2735,EECLASS,obesity,schizophrenia
Non-union,0.3637,EECLASS,obesity,schizophrenia
Union,0.5314,EECLASS,obesity,schizophrenia
Unknown,0.4031,EECLASS,obesity,schizophrenia
Active Full Time,-0.1346,EESTATU,obesity,schizophrenia
Active Part Time or Seasonal,0.3464,EESTATU,obesity,schizophrenia
Early Retiree,0.6322,EESTATU,obesity,schizophrenia
Medicare Eligible Retiree,0.4876,EESTATU,obesity,schizophrenia
Retiree (status unknown),0.3742,EESTATU,obesity,schizophrenia
COBRA Continuee,0.2808,EESTATU,obesity,schizophrenia
Surviving Spouse/Depend.,0.5536,EESTATU,obesity,schizophrenia
Other/Unknown,0.2453,EESTATU,obesity,schizophrenia
Long Term Disability,0.2548,EESTATU,obesity,schizophrenia
"Oil & Gas Extraction, Mining",0.4176,INDSTRY,obesity,suicide
"Manufacturing, Durable Goods",0.1715,INDSTRY,obesity,suicide
"Manufacturing, Nondurable Goods",0.2012,INDSTRY,obesity,suicide
"Transportation, Communications, Utilities",0.1815,INDSTRY,obesity,suicide
Retail Trade,0.0215,INDSTRY,obesity,suicide
"Finance, Insurance, Real Estate",0.2344,INDSTRY,obesity,suicide
Services,0.6336,INDSTRY,obesity,suicide
Construction,0.3205,INDSTRY,obesity,suicide
"Agriculture, Forestry, Fishing",NA,INDSTRY,obesity,suicide
Wholesale,0.1351,INDSTRY,obesity,suicide
Salary Non-union,0.2145,EECLASS,obesity,suicide
Salary Union,0.272,EECLASS,obesity,suicide
Salary Other,0.4133,EECLASS,obesity,suicide
Hourly Non-union,0.022,EECLASS,obesity,suicide
Hourly Union,0.5484,EECLASS,obesity,suicide
Hourly Other,0.2655,EECLASS,obesity,suicide
Non-union,0.3316,EECLASS,obesity,suicide
Union,0.2883,EECLASS,obesity,suicide
Unknown,0.4207,EECLASS,obesity,suicide
Active Full Time,0.4044,EESTATU,obesity,suicide
Active Part Time or Seasonal,0.1658,EESTATU,obesity,suicide
Early Retiree,0.1173,EESTATU,obesity,suicide
Medicare Eligible Retiree,0.2567,EESTATU,obesity,suicide
Retiree (status unknown),0.2714,EESTATU,obesity,suicide
COBRA Continuee,-0.1632,EESTATU,obesity,suicide
Surviving Spouse/Depend.,0.1074,EESTATU,obesity,suicide
Other/Unknown,0.2611,EESTATU,obesity,suicide
Long Term Disability,-0.066,EESTATU,obesity,suicide
"Manufacturing, Durable Goods",0.674,INDSTRY,schizophrenia,depression
"Manufacturing, Nondurable Goods",0.4459,INDSTRY,schizophrenia,depression
"Transportation, Communications, Utilities",0.6174,INDSTRY,schizophrenia,depression
"Finance, Insurance, Real Estate",0.4638,INDSTRY,schizophrenia,depression
Services,0.3558,INDSTRY,schizophrenia,depression
"Oil & Gas Extraction, Mining",0.3529,INDSTRY,schizophrenia,depression
Retail Trade,0.3526,INDSTRY,schizophrenia,depression
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,schizophrenia,depression
Construction,0.4565,INDSTRY,schizophrenia,depression
Wholesale,-0.0121,INDSTRY,schizophrenia,depression
Salary Non-union,0.4945,EECLASS,schizophrenia,depression
Hourly Non-union,0.5139,EECLASS,schizophrenia,depression
Hourly Union,0.6498,EECLASS,schizophrenia,depression
Non-union,0.3612,EECLASS,schizophrenia,depression
Union,0.4733,EECLASS,schizophrenia,depression
Unknown,0.6239,EECLASS,schizophrenia,depression
Salary Union,0.5127,EECLASS,schizophrenia,depression
Salary Other,0.3936,EECLASS,schizophrenia,depression
Hourly Other,0.1872,EECLASS,schizophrenia,depression
Active Full Time,0.4277,EESTATU,schizophrenia,depression
Early Retiree,0.5039,EESTATU,schizophrenia,depression
Medicare Eligible Retiree,0.4866,EESTATU,schizophrenia,depression
COBRA Continuee,0.302,EESTATU,schizophrenia,depression
Active Part Time or Seasonal,0.2678,EESTATU,schizophrenia,depression
Retiree (status unknown),0.4159,EESTATU,schizophrenia,depression
Long Term Disability,0.235,EESTATU,schizophrenia,depression
Surviving Spouse/Depend.,0.4782,EESTATU,schizophrenia,depression
Other/Unknown,0.2745,EESTATU,schizophrenia,depression
"Manufacturing, Durable Goods",0.3639,INDSTRY,schizophrenia,regional_enteritis
"Manufacturing, Nondurable Goods",0.2223,INDSTRY,schizophrenia,regional_enteritis
"Transportation, Communications, Utilities",0.3442,INDSTRY,schizophrenia,regional_enteritis
"Finance, Insurance, Real Estate",0.5767,INDSTRY,schizophrenia,regional_enteritis
Services,0.4678,INDSTRY,schizophrenia,regional_enteritis
"Oil & Gas Extraction, Mining",0.3786,INDSTRY,schizophrenia,regional_enteritis
Retail Trade,0.408,INDSTRY,schizophrenia,regional_enteritis
"Agriculture, Forestry, Fishing",NA,INDSTRY,schizophrenia,regional_enteritis
Construction,0.6925,INDSTRY,schizophrenia,regional_enteritis
Wholesale,0.1828,INDSTRY,schizophrenia,regional_enteritis
Salary Non-union,0.0716,EECLASS,schizophrenia,regional_enteritis
Hourly Non-union,0.2707,EECLASS,schizophrenia,regional_enteritis
Hourly Union,0.5258,EECLASS,schizophrenia,regional_enteritis
Non-union,0.3781,EECLASS,schizophrenia,regional_enteritis
Union,0.54990000000000006,EECLASS,schizophrenia,regional_enteritis
Unknown,0.5463,EECLASS,schizophrenia,regional_enteritis
Salary Union,0.5159,EECLASS,schizophrenia,regional_enteritis
Salary Other,0.589,EECLASS,schizophrenia,regional_enteritis
Hourly Other,0.3171,EECLASS,schizophrenia,regional_enteritis
Active Full Time,-0.0369,EESTATU,schizophrenia,regional_enteritis
Early Retiree,0.319,EESTATU,schizophrenia,regional_enteritis
Medicare Eligible Retiree,0.5161,EESTATU,schizophrenia,regional_enteritis
COBRA Continuee,0.5583,EESTATU,schizophrenia,regional_enteritis
Active Part Time or Seasonal,0.363,EESTATU,schizophrenia,regional_enteritis
Retiree (status unknown),0.4837,EESTATU,schizophrenia,regional_enteritis
Long Term Disability,0.1927,EESTATU,schizophrenia,regional_enteritis
Surviving Spouse/Depend.,0.3092,EESTATU,schizophrenia,regional_enteritis
Other/Unknown,0.2009,EESTATU,schizophrenia,regional_enteritis
"Manufacturing, Durable Goods",0.5996,INDSTRY,schizophrenia,alcohol_dependence
"Manufacturing, Nondurable Goods",0.3035,INDSTRY,schizophrenia,alcohol_dependence
"Transportation, Communications, Utilities",0.3924,INDSTRY,schizophrenia,alcohol_dependence
"Finance, Insurance, Real Estate",0.3825,INDSTRY,schizophrenia,alcohol_dependence
Services,0.4316,INDSTRY,schizophrenia,alcohol_dependence
"Oil & Gas Extraction, Mining",0.2692,INDSTRY,schizophrenia,alcohol_dependence
Retail Trade,0.569,INDSTRY,schizophrenia,alcohol_dependence
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,schizophrenia,alcohol_dependence
Construction,0.54,INDSTRY,schizophrenia,alcohol_dependence
Wholesale,0.0908,INDSTRY,schizophrenia,alcohol_dependence
Salary Non-union,0.3314,EECLASS,schizophrenia,alcohol_dependence
Hourly Non-union,0.3683,EECLASS,schizophrenia,alcohol_dependence
Hourly Union,0.6252,EECLASS,schizophrenia,alcohol_dependence
Non-union,0.3321,EECLASS,schizophrenia,alcohol_dependence
Union,0.483,EECLASS,schizophrenia,alcohol_dependence
Unknown,0.4475,EECLASS,schizophrenia,alcohol_dependence
Salary Union,0.608,EECLASS,schizophrenia,alcohol_dependence
Salary Other,0.4695,EECLASS,schizophrenia,alcohol_dependence
Hourly Other,0.1137,EECLASS,schizophrenia,alcohol_dependence
Active Full Time,0.2589,EESTATU,schizophrenia,alcohol_dependence
Early Retiree,0.542,EESTATU,schizophrenia,alcohol_dependence
Medicare Eligible Retiree,0.5106,EESTATU,schizophrenia,alcohol_dependence
COBRA Continuee,0.4668,EESTATU,schizophrenia,alcohol_dependence
Active Part Time or Seasonal,0.3503,EESTATU,schizophrenia,alcohol_dependence
Retiree (status unknown),0.2392,EESTATU,schizophrenia,alcohol_dependence
Long Term Disability,-0.0461,EESTATU,schizophrenia,alcohol_dependence
Surviving Spouse/Depend.,0.2109,EESTATU,schizophrenia,alcohol_dependence
Other/Unknown,0.1998,EESTATU,schizophrenia,alcohol_dependence
"Manufacturing, Durable Goods",0.6001,INDSTRY,schizophrenia,anxiety
"Manufacturing, Nondurable Goods",0.2588,INDSTRY,schizophrenia,anxiety
"Transportation, Communications, Utilities",0.5823,INDSTRY,schizophrenia,anxiety
"Finance, Insurance, Real Estate",0.4156,INDSTRY,schizophrenia,anxiety
Services,0.2265,INDSTRY,schizophrenia,anxiety
"Oil & Gas Extraction, Mining",0.3732,INDSTRY,schizophrenia,anxiety
Retail Trade,0.4587,INDSTRY,schizophrenia,anxiety
"Agriculture, Forestry, Fishing",NA,INDSTRY,schizophrenia,anxiety
Construction,0.5405,INDSTRY,schizophrenia,anxiety
Wholesale,0.0644,INDSTRY,schizophrenia,anxiety
Salary Non-union,0.2775,EECLASS,schizophrenia,anxiety
Hourly Non-union,0.2561,EECLASS,schizophrenia,anxiety
Hourly Union,0.5173,EECLASS,schizophrenia,anxiety
Non-union,0.1825,EECLASS,schizophrenia,anxiety
Union,0.3493,EECLASS,schizophrenia,anxiety
Unknown,0.6228,EECLASS,schizophrenia,anxiety
Salary Union,0.5204,EECLASS,schizophrenia,anxiety
Salary Other,0.2686,EECLASS,schizophrenia,anxiety
Hourly Other,0.2796,EECLASS,schizophrenia,anxiety
Active Full Time,0.053,EESTATU,schizophrenia,anxiety
Early Retiree,0.4948,EESTATU,schizophrenia,anxiety
Medicare Eligible Retiree,0.4948,EESTATU,schizophrenia,anxiety
COBRA Continuee,0.365,EESTATU,schizophrenia,anxiety
Active Part Time or Seasonal,0.239,EESTATU,schizophrenia,anxiety
Retiree (status unknown),0.413,EESTATU,schizophrenia,anxiety
Long Term Disability,0.2607,EESTATU,schizophrenia,anxiety
Surviving Spouse/Depend.,0.3367,EESTATU,schizophrenia,anxiety
Other/Unknown,-0.0898,EESTATU,schizophrenia,anxiety
"Manufacturing, Durable Goods",0.4772,INDSTRY,schizophrenia,bipolar
"Manufacturing, Nondurable Goods",0.6858,INDSTRY,schizophrenia,bipolar
"Transportation, Communications, Utilities",0.4405,INDSTRY,schizophrenia,bipolar
"Finance, Insurance, Real Estate",0.535,INDSTRY,schizophrenia,bipolar
Services,0.559,INDSTRY,schizophrenia,bipolar
"Oil & Gas Extraction, Mining",0.4489,INDSTRY,schizophrenia,bipolar
Retail Trade,0.453,INDSTRY,schizophrenia,bipolar
"Agriculture, Forestry, Fishing",NA,INDSTRY,schizophrenia,bipolar
Construction,0.707,INDSTRY,schizophrenia,bipolar
Wholesale,0.0762,INDSTRY,schizophrenia,bipolar
Salary Non-union,0.7016,EECLASS,schizophrenia,bipolar
Hourly Non-union,0.4975,EECLASS,schizophrenia,bipolar
Hourly Union,0.5707,EECLASS,schizophrenia,bipolar
Non-union,0.4527,EECLASS,schizophrenia,bipolar
Union,0.4393,EECLASS,schizophrenia,bipolar
Unknown,0.6689,EECLASS,schizophrenia,bipolar
Salary Union,0.3442,EECLASS,schizophrenia,bipolar
Salary Other,0.2649,EECLASS,schizophrenia,bipolar
Hourly Other,0.6075,EECLASS,schizophrenia,bipolar
Active Full Time,0.6059,EESTATU,schizophrenia,bipolar
Early Retiree,0.3905,EESTATU,schizophrenia,bipolar
Medicare Eligible Retiree,0.5171,EESTATU,schizophrenia,bipolar
COBRA Continuee,0.4045,EESTATU,schizophrenia,bipolar
Active Part Time or Seasonal,0.4639,EESTATU,schizophrenia,bipolar
Retiree (status unknown),0.4185,EESTATU,schizophrenia,bipolar
Long Term Disability,0.4484,EESTATU,schizophrenia,bipolar
Surviving Spouse/Depend.,0.7,EESTATU,schizophrenia,bipolar
Other/Unknown,0.2334,EESTATU,schizophrenia,bipolar
"Manufacturing, Durable Goods",0.6283,INDSTRY,schizophrenia,diabetes
"Manufacturing, Nondurable Goods",0.3139,INDSTRY,schizophrenia,diabetes
"Transportation, Communications, Utilities",0.4606,INDSTRY,schizophrenia,diabetes
"Finance, Insurance, Real Estate",0.5573,INDSTRY,schizophrenia,diabetes
Services,0.3117,INDSTRY,schizophrenia,diabetes
"Oil & Gas Extraction, Mining",0.4193,INDSTRY,schizophrenia,diabetes
Retail Trade,0.3248,INDSTRY,schizophrenia,diabetes
"Agriculture, Forestry, Fishing",-0.0286,INDSTRY,schizophrenia,diabetes
Construction,0.4464,INDSTRY,schizophrenia,diabetes
Wholesale,-0.0195,INDSTRY,schizophrenia,diabetes
Salary Non-union,0.4159,EECLASS,schizophrenia,diabetes
Hourly Non-union,0.3109,EECLASS,schizophrenia,diabetes
Hourly Union,0.5682,EECLASS,schizophrenia,diabetes
Non-union,0.5008,EECLASS,schizophrenia,diabetes
Union,0.5735,EECLASS,schizophrenia,diabetes
Unknown,0.5403,EECLASS,schizophrenia,diabetes
Salary Union,0.4842,EECLASS,schizophrenia,diabetes
Salary Other,0.3099,EECLASS,schizophrenia,diabetes
Hourly Other,0.2684,EECLASS,schizophrenia,diabetes
Active Full Time,-0.0405,EESTATU,schizophrenia,diabetes
Early Retiree,0.6878,EESTATU,schizophrenia,diabetes
Medicare Eligible Retiree,0.482,EESTATU,schizophrenia,diabetes
COBRA Continuee,0.0495,EESTATU,schizophrenia,diabetes
Active Part Time or Seasonal,0.3297,EESTATU,schizophrenia,diabetes
Retiree (status unknown),0.2201,EESTATU,schizophrenia,diabetes
Long Term Disability,0.4361,EESTATU,schizophrenia,diabetes
Surviving Spouse/Depend.,0.43,EESTATU,schizophrenia,diabetes
Other/Unknown,0.3338,EESTATU,schizophrenia,diabetes
"Manufacturing, Durable Goods",0.6487,INDSTRY,schizophrenia,drug_dependence
"Manufacturing, Nondurable Goods",0.3165,INDSTRY,schizophrenia,drug_dependence
"Transportation, Communications, Utilities",0.4118,INDSTRY,schizophrenia,drug_dependence
"Finance, Insurance, Real Estate",0.3893,INDSTRY,schizophrenia,drug_dependence
Services,0.3573,INDSTRY,schizophrenia,drug_dependence
"Oil & Gas Extraction, Mining",0.4365,INDSTRY,schizophrenia,drug_dependence
Retail Trade,0.35,INDSTRY,schizophrenia,drug_dependence
"Agriculture, Forestry, Fishing",0.6856,INDSTRY,schizophrenia,drug_dependence
Construction,0.3171,INDSTRY,schizophrenia,drug_dependence
Wholesale,-0.0055,INDSTRY,schizophrenia,drug_dependence
Salary Non-union,0.3228,EECLASS,schizophrenia,drug_dependence
Hourly Non-union,0.3533,EECLASS,schizophrenia,drug_dependence
Hourly Union,0.674,EECLASS,schizophrenia,drug_dependence
Non-union,0.2403,EECLASS,schizophrenia,drug_dependence
Union,0.4668,EECLASS,schizophrenia,drug_dependence
Unknown,0.4823,EECLASS,schizophrenia,drug_dependence
Salary Union,0.4847,EECLASS,schizophrenia,drug_dependence
Salary Other,0.2469,EECLASS,schizophrenia,drug_dependence
Hourly Other,0.0075,EECLASS,schizophrenia,drug_dependence
Active Full Time,0.1087,EESTATU,schizophrenia,drug_dependence
Early Retiree,0.5873,EESTATU,schizophrenia,drug_dependence
Medicare Eligible Retiree,0.4708,EESTATU,schizophrenia,drug_dependence
COBRA Continuee,0.2263,EESTATU,schizophrenia,drug_dependence
Active Part Time or Seasonal,0.3035,EESTATU,schizophrenia,drug_dependence
Retiree (status unknown),0.3386,EESTATU,schizophrenia,drug_dependence
Long Term Disability,0.4163,EESTATU,schizophrenia,drug_dependence
Surviving Spouse/Depend.,0.5248,EESTATU,schizophrenia,drug_dependence
Other/Unknown,-0.0749,EESTATU,schizophrenia,drug_dependence
"Manufacturing, Durable Goods",0.6062,INDSTRY,schizophrenia,hypertension
"Manufacturing, Nondurable Goods",0.4599,INDSTRY,schizophrenia,hypertension
"Transportation, Communications, Utilities",0.5586,INDSTRY,schizophrenia,hypertension
"Finance, Insurance, Real Estate",0.4731,INDSTRY,schizophrenia,hypertension
Services,0.2778,INDSTRY,schizophrenia,hypertension
"Oil & Gas Extraction, Mining",0.3962,INDSTRY,schizophrenia,hypertension
Retail Trade,0.2438,INDSTRY,schizophrenia,hypertension
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,schizophrenia,hypertension
Construction,0.3542,INDSTRY,schizophrenia,hypertension
Wholesale,-0.1151,INDSTRY,schizophrenia,hypertension
Salary Non-union,0.43120000000000003,EECLASS,schizophrenia,hypertension
Hourly Non-union,0.2876,EECLASS,schizophrenia,hypertension
Hourly Union,0.5888,EECLASS,schizophrenia,hypertension
Non-union,0.36,EECLASS,schizophrenia,hypertension
Union,0.5925,EECLASS,schizophrenia,hypertension
Unknown,0.4878,EECLASS,schizophrenia,hypertension
Salary Union,0.4454,EECLASS,schizophrenia,hypertension
Salary Other,0.338,EECLASS,schizophrenia,hypertension
Hourly Other,0.2555,EECLASS,schizophrenia,hypertension
Active Full Time,-0.0883,EESTATU,schizophrenia,hypertension
Early Retiree,0.5651,EESTATU,schizophrenia,hypertension
Medicare Eligible Retiree,0.4484,EESTATU,schizophrenia,hypertension
COBRA Continuee,0.1464,EESTATU,schizophrenia,hypertension
Active Part Time or Seasonal,0.2981,EESTATU,schizophrenia,hypertension
Retiree (status unknown),0.295,EESTATU,schizophrenia,hypertension
Long Term Disability,0.1425,EESTATU,schizophrenia,hypertension
Surviving Spouse/Depend.,0.4715,EESTATU,schizophrenia,hypertension
Other/Unknown,0.3078,EESTATU,schizophrenia,hypertension
"Manufacturing, Durable Goods",0.573,INDSTRY,schizophrenia,lipid_metabolism
"Manufacturing, Nondurable Goods",0.3531,INDSTRY,schizophrenia,lipid_metabolism
"Transportation, Communications, Utilities",0.3676,INDSTRY,schizophrenia,lipid_metabolism
"Finance, Insurance, Real Estate",0.3195,INDSTRY,schizophrenia,lipid_metabolism
Services,0.328,INDSTRY,schizophrenia,lipid_metabolism
"Oil & Gas Extraction, Mining",0.3666,INDSTRY,schizophrenia,lipid_metabolism
Retail Trade,0.1396,INDSTRY,schizophrenia,lipid_metabolism
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,schizophrenia,lipid_metabolism
Construction,0.3162,INDSTRY,schizophrenia,lipid_metabolism
Wholesale,-0.0746,INDSTRY,schizophrenia,lipid_metabolism
Salary Non-union,0.2415,EECLASS,schizophrenia,lipid_metabolism
Hourly Non-union,0.2871,EECLASS,schizophrenia,lipid_metabolism
Hourly Union,0.5249,EECLASS,schizophrenia,lipid_metabolism
Non-union,0.2945,EECLASS,schizophrenia,lipid_metabolism
Union,0.554,EECLASS,schizophrenia,lipid_metabolism
